,0
0,1
1,0
2,1
3,0
4,1
5,0
6,1
7,0
8,0
9,0
10,1
11,1
12,0
13,1
14,1
15,2
16,0
17,1
18,1
19,1
20,0
21,0
22,0
23,0
24,1
25,1
26,1
27,4
28,0
29,1
30,0
31,2
32,2
33,2
34,0
35,0
36,2
37,1
38,1
39,0
40,2
41,0
42,1
43,0
44,1
45,1
46,0
47,2
48,0
49,2
50,1
51,0
52,1
53,1
54,1
55,1
56,2
57,1
58,6
59,2
60,1
61,0
62,1
63,1
64,0
65,0
66,2
67,1
68,0
69,1
70,1
71,2
72,2
73,0
74,0
75,1
76,0
77,1
78,0
79,1
80,1
81,1
82,1
83,1
84,2
85,0
86,1
87,1
88,5
89,0
90,1
91,1
92,1
93,2
94,1
95,2
96,1
97,1
98,2
99,0
100,1
101,1
102,0
103,1
104,2
105,1
106,1
107,1
108,0
109,1
110,2
111,2
112,0
113,1
114,1
115,0
116,0
117,2
118,2
119,1
120,1
121,0
122,0
123,0
124,5
125,1
126,5
127,1
128,1
129,0
130,1
131,1
132,2
133,0
134,1
135,0
136,0
137,1
138,2
139,0
140,0
141,0
142,1
143,1
144,6
145,2
146,0
147,1
148,1
149,0
150,1
151,1
152,2
153,0
154,1
155,2
156,1
157,0
158,1
159,0
160,0
161,1
162,1
163,1
164,1
165,0
166,0
167,1
168,1
169,1
170,6
171,1
172,1
173,1
174,0
175,1
176,0
177,0
178,1
179,1
180,1
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,0
189,2
190,1
191,1
192,2
193,4
194,2
195,1
196,1
197,0
198,0
199,0
200,1
201,1
202,0
203,0
204,5
205,0
206,1
207,2
208,0
209,0
210,1
211,2
212,1
213,2
214,0
215,1
216,2
217,0
218,1
219,5
220,1
221,1
222,6
223,6
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,0
233,5
234,1
235,1
236,4
237,1
238,1
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,0
247,1
248,4
249,0
250,5
251,2
252,0
253,2
254,2
255,0
256,4
257,0
258,0
259,1
260,1
261,2
262,2
263,2
264,1
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,1
273,1
274,0
275,2
276,1
277,1
278,2
279,1
280,0
281,0
282,2
283,0
284,1
285,1
286,0
287,1
288,0
289,2
290,2
291,2
292,1
293,0
294,6
295,0
296,2
297,0
298,1
299,0
300,2
301,1
302,1
303,0
304,1
305,0
306,1
307,0
308,1
309,2
310,1
311,1
312,1
313,1
314,2
315,4
316,1
317,0
318,5
319,1
320,0
321,1
322,0
323,6
324,2
325,1
326,1
327,1
328,1
329,2
330,1
331,1
332,1
333,2
334,1
335,0
336,1
337,1
338,0
339,1
340,1
341,0
342,0
343,1
344,4
345,4
346,0
347,0
348,0
349,1
350,1
351,1
352,5
353,0
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,1
362,1
363,0
364,6
365,1
366,0
367,1
368,1
369,1
370,6
371,1
372,1
373,0
374,1
375,1
376,0
377,1
378,2
379,0
380,1
381,1
382,0
383,2
384,0
385,5
386,1
387,1
388,2
389,1
390,2
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,0
400,2
401,0
402,1
403,0
404,0
405,5
406,1
407,2
408,1
409,2
410,2
411,1
412,1
413,2
414,1
415,2
416,1
417,1
418,0
419,2
420,0
421,1
422,0
423,1
424,1
425,2
426,2
427,0
428,2
429,1
430,1
431,2
432,1
433,0
434,1
435,2
436,0
437,5
438,2
439,0
440,1
441,5
442,2
443,1
444,6
445,4
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,1
456,0
457,5
458,1
459,1
460,2
461,1
462,1
463,1
464,5
465,0
466,1
467,0
468,0
469,0
470,1
471,0
472,1
473,0
474,1
475,0
476,2
477,0
478,2
479,2
480,1
481,1
482,0
483,1
484,1
485,0
486,1
487,1
488,0
489,0
490,0
491,0
492,5
493,2
494,1
495,1
496,0
497,1
498,0
499,1
500,1
501,5
502,0
503,2
504,1
505,2
506,1
507,0
508,1
509,0
510,0
511,2
512,1
513,2
514,1
515,1
516,2
517,1
518,1
519,2
520,0
521,0
522,0
523,5
524,0
525,1
526,0
527,1
528,1
529,0
530,0
531,2
532,1
533,5
534,1
535,0
536,2
537,0
538,1
539,1
540,0
541,0
542,1
543,1
544,2
545,1
546,1
547,1
548,1
549,1
550,1
551,6
552,2
553,1
554,0
555,5
556,0
557,1
558,1
559,2
560,0
561,2
562,1
563,1
564,6
565,5
566,2
567,1
568,0
569,0
570,0
571,1
572,5
573,1
574,1
575,4
576,2
577,0
578,2
579,0
580,0
581,1
582,2
583,1
584,0
585,0
586,1
587,0
588,1
589,0
590,1
591,1
592,1
593,0
594,0
595,2
596,1
597,1
598,1
599,1
600,1
601,1
602,0
603,1
604,1
605,1
606,1
607,1
608,0
609,2
610,2
611,2
612,0
613,2
614,1
615,1
616,4
617,0
618,1
619,0
620,0
621,1
622,1
623,0
624,0
625,0
626,0
627,1
628,0
629,0
630,4
631,1
632,1
633,2
634,0
635,1
636,6
637,2
638,1
639,0
640,1
641,2
642,1
643,0
644,1
645,1
646,1
647,0
648,2
649,2
650,1
651,1
652,1
653,1
654,6
655,0
656,1
657,2
658,0
659,2
660,2
661,2
662,0
663,1
664,2
665,1
666,0
667,0
668,2
669,2
670,6
671,0
672,1
673,2
674,1
675,1
676,1
677,1
678,1
679,0
680,1
681,0
682,0
683,1
684,1
685,1
686,0
687,2
688,2
689,1
690,1
691,0
692,0
693,0
694,0
695,2
696,1
697,6
698,0
699,0
700,1
701,1
702,2
703,1
704,1
705,0
706,1
707,5
708,2
709,0
710,1
711,1
712,1
713,6
714,0
715,1
716,0
717,1
718,0
719,5
720,1
721,1
722,0
723,1
724,1
725,1
726,0
727,1
728,2
729,4
730,0
731,0
732,1
733,0
734,1
735,0
736,0
737,1
738,1
739,6
740,1
741,0
742,1
743,0
744,0
745,1
746,2
747,1
748,1
749,0
750,1
751,1
752,0
753,1
754,1
755,2
756,0
757,1
758,0
759,0
760,5
761,5
762,2
763,2
764,1
765,1
766,1
767,1
768,6
769,2
770,1
771,2
772,0
773,0
774,1
775,0
776,2
777,0
778,1
779,1
780,1
781,1
782,2
783,2
784,1
785,0
786,1
787,0
788,0
789,0
790,1
791,5
792,1
793,2
794,0
795,1
796,1
797,1
798,1
799,2
800,2
801,1
802,0
803,0
804,1
805,2
806,5
807,0
808,0
809,0
810,0
811,0
812,1
813,1
814,0
815,0
816,1
817,2
818,1
819,0
820,1
821,0
822,2
823,0
824,2
825,1
826,1
827,1
828,1
829,1
830,1
831,0
832,0
833,1
834,2
835,1
836,1
837,6
838,0
839,1
840,2
841,1
842,1
843,1
844,1
845,2
846,1
847,0
848,0
849,0
850,2
851,0
852,1
853,2
854,0
855,0
856,4
857,2
858,1
859,2
860,0
861,2
862,0
863,0
864,1
865,1
866,0
867,0
868,1
869,0
870,1
871,1
872,0
873,1
874,1
875,1
876,1
877,2
878,0
879,1
880,5
881,1
882,2
883,5
884,2
885,2
886,1
887,1
888,0
889,0
890,0
891,1
892,0
893,1
894,0
895,5
896,1
897,1
898,1
899,2
900,2
901,2
902,2
903,1
904,1
905,0
906,2
907,2
908,0
909,2
910,0
911,2
912,1
913,1
914,2
915,0
916,2
917,1
918,1
919,2
920,1
921,2
922,1
923,1
924,0
925,1
926,0
927,1
928,1
929,1
930,1
931,0
932,0
933,1
934,1
935,0
936,0
937,1
938,0
939,1
940,1
941,0
942,1
943,0
944,1
945,1
946,0
947,2
948,2
949,1
950,2
951,2
952,0
953,0
954,1
955,1
956,1
957,1
958,6
959,0
960,2
961,2
962,0
963,0
964,2
965,0
966,2
967,1
968,0
969,2
970,2
971,0
972,0
973,1
974,1
975,0
976,1
977,1
978,0
979,1
980,0
981,2
982,1
983,1
984,2
985,1
986,1
987,1
988,0
989,0
990,0
991,0
992,1
993,0
994,0
995,2
996,1
997,0
998,1
999,0
1000,0
1001,2
1002,2
1003,1
1004,2
1005,0
1006,0
1007,1
1008,0
1009,0
1010,0
1011,0
1012,0
1013,2
1014,2
1015,1
1016,0
1017,1
1018,2
1019,1
1020,0
1021,6
1022,1
1023,0
1024,1
1025,0
1026,1
1027,1
1028,2
1029,2
1030,0
1031,2
1032,1
1033,2
1034,0
1035,2
1036,0
1037,2
1038,0
1039,2
1040,1
1041,0
1042,1
1043,2
1044,0
1045,1
1046,6
1047,2
1048,0
1049,0
1050,1
1051,0
1052,1
1053,2
1054,1
1055,1
1056,1
1057,2
1058,2
1059,0
1060,1
1061,1
1062,2
1063,0
1064,2
1065,1
1066,1
1067,0
1068,1
1069,0
1070,1
1071,0
1072,4
1073,1
1074,2
1075,1
1076,1
1077,0
1078,1
1079,0
1080,2
1081,1
1082,1
1083,0
1084,1
1085,1
1086,1
1087,2
1088,2
1089,2
1090,1
1091,1
1092,1
1093,0
1094,0
1095,0
1096,5
1097,0
1098,1
1099,1
1100,1
1101,0
1102,0
1103,0
1104,1
1105,2
1106,0
1107,0
1108,0
1109,1
1110,1
1111,2
1112,1
1113,2
1114,1
1115,0
1116,1
1117,0
1118,1
1119,1
1120,1
1121,0
1122,1
1123,0
1124,0
1125,1
1126,1
1127,1
1128,0
1129,0
1130,5
1131,1
1132,1
1133,2
1134,1
1135,0
1136,0
1137,1
1138,1
1139,1
1140,1
1141,0
1142,6
1143,0
1144,1
1145,0
1146,0
1147,2
1148,1
1149,2
1150,2
1151,1
1152,0
1153,1
1154,2
1155,2
1156,5
1157,1
1158,1
1159,1
1160,0
1161,0
1162,0
1163,2
1164,5
1165,1
1166,1
1167,2
1168,0
1169,0
1170,2
1171,1
1172,0
1173,0
1174,1
1175,1
1176,1
1177,0
1178,2
1179,4
1180,1
1181,2
1182,0
1183,5
1184,2
1185,0
1186,1
1187,2
1188,0
1189,1
1190,2
1191,5
1192,0
1193,1
1194,1
1195,6
1196,2
1197,0
1198,5
1199,0
1200,0
1201,1
1202,1
1203,1
1204,2
1205,0
1206,5
1207,1
1208,1
1209,1
1210,1
1211,1
1212,0
1213,1
1214,0
1215,0
1216,1
1217,1
1218,1
1219,0
1220,2
1221,1
1222,1
1223,1
1224,2
1225,2
1226,1
1227,1
1228,0
1229,1
1230,1
